l1=1, l2=1, l3=1, acc: 65.10%
l1=1, l2=2, l3=1, acc: 65.10%
l1=1, l2=3, l3=1, acc: 71.09%
l1=1, l2=4, l3=1, acc: 71.88%
l1=2, l2=1, l3=1, acc: 65.10%
l1=2, l2=2, l3=1, acc: 65.10%
l1=2, l2=3, l3=1, acc: 65.10%
l1=2, l2=4, l3=1, acc: 73.31%
l1=3, l2=1, l3=1, acc: 65.10%
l1=3, l2=2, l3=1, acc: 65.10%
l1=3, l2=3, l3=1, acc: 65.10%
l1=3, l2=4, l3=1, acc: 65.10%
l1=4, l2=1, l3=1, acc: 65.23%
l1=4, l2=2, l3=1, acc: 65.10%
l1=4, l2=3, l3=1, acc: 65.89%
l1=4, l2=4, l3=1, acc: 65.89%
l1=5, l2=5, l3=1, acc: 34.90%
l1=5, l2=6, l3=1, acc: 68.49%
l1=5, l2=7, l3=1, acc: 64.97%
l1=5, l2=8, l3=1, acc: 72.27%
l1=5, l2=9, l3=1, acc: 67.71%
l1=6, l2=5, l3=1, acc: 74.22%
l1=6, l2=6, l3=1, acc: 67.45%
l1=6, l2=7, l3=1, acc: 72.92%
l1=6, l2=8, l3=1, acc: 74.35%
l1=6, l2=9, l3=1, acc: 75.39%
l1=7, l2=5, l3=1, acc: 68.23%
l1=7, l2=6, l3=1, acc: 65.10%
l1=7, l2=7, l3=1, acc: 65.36%
l1=7, l2=8, l3=1, acc: 71.61%
l1=7, l2=9, l3=1, acc: 68.36%
l1=8, l2=5, l3=1, acc: 67.19%
l1=8, l2=6, l3=1, acc: 65.89%
l1=8, l2=7, l3=1, acc: 76.82%
l1=8, l2=8, l3=1, acc: 69.92%
l1=8, l2=9, l3=1, acc: 65.10%
l1=9, l2=5, l3=1, acc: 65.49%
l1=9, l2=6, l3=1, acc: 69.79%
l1=9, l2=7, l3=1, acc: 71.35%
l1=9, l2=8, l3=1, acc: 60.81%
l1=9, l2=9, l3=1, acc: 66.80%
l1=1, l2=5, l3=1, acc: 65.10%
l1=1, l2=6, l3=1, acc: 65.10%
l1=1, l2=7, l3=1, acc: 65.23%
l1=1, l2=8, l3=1, acc: 65.10%
l1=1, l2=9, l3=1, acc: 65.10%
l1=2, l2=5, l3=1, acc: 66.54%
l1=2, l2=6, l3=1, acc: 68.36%
l1=2, l2=7, l3=1, acc: 66.28%
l1=2, l2=8, l3=1, acc: 65.36%
l1=2, l2=9, l3=1, acc: 71.35%
l1=3, l2=5, l3=1, acc: 65.10%
l1=3, l2=6, l3=1, acc: 65.23%
l1=3, l2=7, l3=1, acc: 65.23%
l1=3, l2=8, l3=1, acc: 71.22%
l1=3, l2=9, l3=1, acc: 67.84%
l1=4, l2=5, l3=1, acc: 35.03%
l1=4, l2=6, l3=1, acc: 68.10%
l1=4, l2=7, l3=1, acc: 65.10%
l1=4, l2=8, l3=1, acc: 73.83%
l1=4, l2=9, l3=1, acc: 69.14%
l1=5, l2=1, l3=1, acc: 65.10%
l1=5, l2=2, l3=1, acc: 65.23%
l1=5, l2=3, l3=1, acc: 66.93%
l1=5, l2=4, l3=1, acc: 71.35%
l1=6, l2=1, l3=1, acc: 65.10%
l1=6, l2=2, l3=1, acc: 65.36%
l1=6, l2=3, l3=1, acc: 67.84%
l1=6, l2=4, l3=1, acc: 65.10%
l1=7, l2=1, l3=1, acc: 65.10%
l1=7, l2=2, l3=1, acc: 65.10%
l1=7, l2=3, l3=1, acc: 65.10%
l1=7, l2=4, l3=1, acc: 64.84%
l1=8, l2=1, l3=1, acc: 65.10%
l1=8, l2=2, l3=1, acc: 65.89%
l1=8, l2=3, l3=1, acc: 65.10%
l1=8, l2=4, l3=1, acc: 70.31%
l1=9, l2=1, l3=1, acc: 65.10%
l1=9, l2=2, l3=1, acc: 65.62%
l1=9, l2=3, l3=1, acc: 65.10%
l1=9, l2=4, l3=1, acc: 70.18%
l1=10, l2=10, l3=1, acc: 75.65%
l1=10, l2=11, l3=1, acc: 73.18%
l1=10, l2=12, l3=1, acc: 71.61%
l1=10, l2=13, l3=1, acc: 67.84%
l1=10, l2=14, l3=1, acc: 66.54%
l1=10, l2=15, l3=1, acc: 68.49%
l1=10, l2=16, l3=1, acc: 34.90%
l1=10, l2=17, l3=1, acc: 72.14%
l1=10, l2=18, l3=1, acc: 70.18%
l1=10, l2=19, l3=1, acc: 73.18%
l1=11, l2=10, l3=1, acc: 72.27%
l1=11, l2=11, l3=1, acc: 71.35%
l1=11, l2=12, l3=1, acc: 65.10%
l1=11, l2=13, l3=1, acc: 65.10%
l1=11, l2=14, l3=1, acc: 60.68%
l1=11, l2=15, l3=1, acc: 70.57%
l1=11, l2=16, l3=1, acc: 70.70%
l1=11, l2=17, l3=1, acc: 72.40%
l1=11, l2=18, l3=1, acc: 73.44%
l1=11, l2=19, l3=1, acc: 70.70%
l1=12, l2=10, l3=1, acc: 66.41%
l1=12, l2=11, l3=1, acc: 71.48%
l1=12, l2=12, l3=1, acc: 72.27%
l1=12, l2=13, l3=1, acc: 65.10%
l1=12, l2=14, l3=1, acc: 71.09%
l1=12, l2=15, l3=1, acc: 72.14%
l1=12, l2=16, l3=1, acc: 72.14%
l1=12, l2=17, l3=1, acc: 65.76%
l1=12, l2=18, l3=1, acc: 73.96%
l1=12, l2=19, l3=1, acc: 71.74%
l1=13, l2=10, l3=1, acc: 73.31%
l1=13, l2=11, l3=1, acc: 74.09%
l1=13, l2=12, l3=1, acc: 73.18%
l1=13, l2=13, l3=1, acc: 73.44%
l1=13, l2=14, l3=1, acc: 68.36%
l1=13, l2=15, l3=1, acc: 65.36%
l1=13, l2=16, l3=1, acc: 34.90%
l1=13, l2=17, l3=1, acc: 66.15%
l1=13, l2=18, l3=1, acc: 70.57%
l1=13, l2=19, l3=1, acc: 69.40%
l1=14, l2=10, l3=1, acc: 72.79%
l1=14, l2=11, l3=1, acc: 65.89%
l1=14, l2=12, l3=1, acc: 71.35%
l1=14, l2=13, l3=1, acc: 65.10%
l1=14, l2=14, l3=1, acc: 67.97%
l1=14, l2=15, l3=1, acc: 72.92%
l1=14, l2=16, l3=1, acc: 65.10%
l1=14, l2=17, l3=1, acc: 74.74%
l1=14, l2=18, l3=1, acc: 69.14%
l1=14, l2=19, l3=1, acc: 75.52%
l1=15, l2=10, l3=1, acc: 72.66%
l1=15, l2=11, l3=1, acc: 65.10%
l1=15, l2=12, l3=1, acc: 73.57%
l1=15, l2=13, l3=1, acc: 70.44%
l1=15, l2=14, l3=1, acc: 65.10%
l1=15, l2=15, l3=1, acc: 73.18%
l1=15, l2=16, l3=1, acc: 76.43%
l1=15, l2=17, l3=1, acc: 65.10%
l1=15, l2=18, l3=1, acc: 65.10%
l1=15, l2=19, l3=1, acc: 69.66%
l1=16, l2=10, l3=1, acc: 73.70%
l1=16, l2=11, l3=1, acc: 72.27%
l1=16, l2=12, l3=1, acc: 72.40%
l1=16, l2=13, l3=1, acc: 72.79%
l1=16, l2=14, l3=1, acc: 72.66%
l1=16, l2=15, l3=1, acc: 68.75%
l1=16, l2=16, l3=1, acc: 75.91%
l1=16, l2=17, l3=1, acc: 67.19%
l1=16, l2=18, l3=1, acc: 71.35%
l1=16, l2=19, l3=1, acc: 72.66%
l1=17, l2=10, l3=1, acc: 65.10%
l1=17, l2=11, l3=1, acc: 75.65%
l1=17, l2=12, l3=1, acc: 73.44%
l1=17, l2=13, l3=1, acc: 70.70%
l1=17, l2=14, l3=1, acc: 70.31%
l1=17, l2=15, l3=1, acc: 73.05%
l1=17, l2=16, l3=1, acc: 68.23%
l1=17, l2=17, l3=1, acc: 76.43%
l1=17, l2=18, l3=1, acc: 65.10%
l1=17, l2=19, l3=1, acc: 74.48%
l1=18, l2=10, l3=1, acc: 70.70%
